tickers,Total Share Outstanding
KPPL,73040000
CNATEX,239316000
RINGSHINE,495962495
SILVAPHL,136500000
BATBC,540000000
00DS30,540000000
BDCOM,57086500
NCCBLMF1,108503401
ATCSLGF,61786050
AAMRATECH,64707442
EASTLAND,83880581
DHAKAINS,40125000
NTC,6600000
GOLDENSON,171729772
LANKABAFIN,538838623
MJLBD,316752027
PRIMEBANK,1132283477
CONFIDCEM,82146468
GQBALLPEN,8928091
DULAMIACOT,7556600
EGEN,75000000
DBH,198890171
JHRML,125294120
BDAUTOCA,4326013
NBL,3219739570
UPGDCL,579695270
MBL1STMF,100000000
STANDARINS,43296592
BSC,152535040
NATLIFEINS,108521981
KAY&QUE,6855931
HFL,91057312
ACFL,100833333
AGRANINS,33979904
BANKASIA,1165906860
TUNGHAI,106653030
JANATAINS,46617912
LOVELLO,85000000
GRAMEENS2,182397902
SBACBANK,824191650
SQURPHARMA,886451010
INTECH,31321226
VAMLRBBF,158745000
AAMRANET,61986608
DBLPBOND,40000
TOSRIFA,67985119
WMSHIPYARD,235203769
TILIL,40000000
VFSTDL,105580055
EASTERNINS,43110144
MATINSPINN,97490000
PRAGATIINS,68869846
BXPHARMA,446112089
SPCL,186631629
CONTININS,41605311
APSCLBOND,200000
AFCAGRO,115216200
VAMLBDMF1,104320000
BEACONPHAR,231000000
RUPALIBANK,464697205
ONEBANKLTD,1029779603
PROVATIINS,40312238
ESQUIRENIT,134895833
SIMTEX,79595381
BANGAS,7624643
QUEENSOUTH,152601439
JAMUNABANK,812909830
APEXFOOT,12993750
BDWELDING,43349305
SANDHANINS,109698633
AMBEEPHA,2400000
METROSPIN,61698275
IDLC,415698485
APOLOISPAT,401308600
BDTHAI,127775250
ICBAGRANI1,98151000
PREMIERLEA,132970210
DBH1STMF,120000000
BATASHOE,13680000
NURANI,122625030
SILCOPHL,103807000
DGIC,40000000
CENTRALINS,53144823
ABB1STMF,239090396
IMAMBUTTON,7700000
EASTRNLUB,1312080
ANLIMAYARN,17867800
UNIONBANK,1036280448
GEMINISEA,6105206
BDLAMPS,10026551
BEXGSUKUK,282987064
ADNTEL,64651666
KTL,116305200
AZIZPIPES,5347125
ICBIBANK,664702300
SEMLFBSLGF,72944500
APEXTANRY,15240000
ICB3RDNRB,100000000
TRUSTBANK,856226945
BSRMSTEEL,375952500
PHPMF1,281893264
SAIFPOWER,379338648
INDEXAGRO,47253649
PRIMETEX,38200000
TRUSTB1MF,303586675
AIL,44251669
BDTHAIFOOD,81500000
ZAHINTEX,81828549
RANFOUNDRY,10000000
SAVAREFR,1392800
IFILISLMF1,100000000
IBNSINA,31243627
RENWICKJA,2000000
SONALILIFE,47500000
SALAMCRST,98371100
SINOBANGLA,20196566
OAL,169526982
CAPMIBBLMF,66853500
FORTUNE,170662263
LINDEBD,15218300
FINEFOODS,13973918
SHURWID,57367750
TAKAFULINS,42586977
DESCO,397569804
00DSES,397569804
YPL,73698817
ALLTEX,55968000
PRIMEINSUR,40877498
NITOLINS,40207639
SQUARETEXT,197252000
MLDYEING,232434090
RUNNERAUTO,113539932
NAVANACNG,75552772
NCCBANK,1110423096
UNILEVERCL,19274318
ICBAMCL2ND,50000000
ISLAMIINS,41165215
PHOENIXFIN,165874195
MARICO,31500000
IPDC,371091547
BXSYNTH,86712359
